title,article,editor,newssource,commentCount,time,time_now
中国红牛强制清算案终审 北京高院驳回泰方上诉,原标题：北京高院终审裁定：驳回泰国红牛强制清算中国红牛上诉 红牛纠纷在新年持续升级。2020年1月5日晚间，红牛维他命饮料有限公司（以下简称“中国红牛”）发布公告称，日前中国红牛收到北京市高级人民法院（2019）京清终4号《民事裁定书》。终审法院认为红牛泰国公司、英特公司对于中国红牛的上诉理由不成立，其上诉请求不予支持。法律届人士认为，申请人的股东地位尚未能被确认，因此申请人提出的强制清算申请不会获得法院支持。 申请强制清算再被驳回 北京市高级人民法院认为，具有股东资格是公司股东申请法院指定清算组对公司进行强制清算的身份前提。红牛泰国公司、英特公司的股东资格尚处于争议状态，一审法院未受理其以股东身份提出的强制清算申请正确，符合最高人民法院关于公司强制清算相关司法解释的精神。本案裁定结果为“驳回红牛泰国公司、英特公司上诉，维持原裁定。本裁定为终审裁定。” 红牛商标权益争夺和纠纷自2014 年开始，中泰双方摩擦不断，2016年双方矛盾升级并诉至公堂，双方围绕合资期限、商标、股权、破产清算等互相诉讼达20多起。随着中国红牛工商营业执照登记经营期限到期，双方全面爆发激烈的舆论战。中国红牛向有关部门提起营业执照变更申请，并称有法律依据的双方合作期限是“五十年”，泰国天丝则申请对中国红牛强制清算，并另寻合作伙伴。 2018年10月15日，泰国红牛和英特生物向北京市第一中级人民法院提起强制清算中国红牛的法律程序。但作为启动清算主体之一的泰国红牛表达的仍然是许氏家族单方面的意愿，因为针对泰国红牛实控人及股权，中国红牛实际经营人华彬集团及董事长严彬与许氏家族长时间已有分歧。 2019年5月30日，新京报记者从知情人士处获悉，北京市第一中级人民法院作出裁定，“不予受理红牛维他命饮料（泰国）有限公司、英特生物制药控股有限公司对红牛维他命饮料有限公司的强制清算申请。”随后泰方提起了上诉，直到最近北京高院将其诉请驳回。 华彬相关负责人曾对媒体表示，作为华彬集团以自有资金和人力运营红牛品牌的成本和风险补偿，泰国天丝承诺赋予红牛公司在中国至少50年独家经营红牛饮料的权利。泰国华彬（华彬集团在泰国设立的公司）也在通过诉讼来主张自己才是中国红牛的实际股东和出资人，泰国红牛仅为名义股东。关于股东身份的审理截至目前还未有结果。 股东资格确认仍在审理中 关于双方的股东身份纠纷，2019年5月29日，泰国华彬国际集团公司与被告中国红牛及第三人英特生物制药控股有限公司股东资格确认纠纷一案，在最高人民法院第二国际商事法庭开庭，这是最高人民法院国际商事法庭公开审理的第一起案件。 据了解，本案是最高人民法院第二国际商事法庭受理的红牛系列案件之一，涉及红牛公司的股东资格确认纠纷。合议庭分别于2019年5月15日、27日就案件召开两次庭前会议，组织三方当事人进行证据交换，确定相关程序性事项。 本案的争议焦点是泰国华彬关于英特生物持有红牛公司7%股权是代其持有并要求显名的主张是否成立，涉及问题包括各方当事人就案涉7%股权的出资情况、对案涉股权实际行使股东权利和履行股东义务的主体、相关当事人之间是否存在代持合意、原告的显名请求是否应予以支持、原告的请求是否超过诉讼时效期间。当天的庭审持续近4个小时，并将择日宣判。 中国红牛在本次公告中表示，在本公司法定证照合理变更期内，本公司的一切生产经营权利依法受到保障。经中华人民共和国司法机关查明，红牛泰国公司（全称为红牛维他命饮料（泰国）有限公司）、英特公司（全称为英特生物制药控股有限公司）所谓的股东资格，处于争议状态，未被确认。,杨杰 ,新京报网,0,2020年01月06日 12:16,1578285782.734335
吃“红牌” 北京自修大学等5所学校被叫停办学,原标题：吃“红牌”！北京自修大学等5所学校被市教委叫停办学 今天，北京市教委发布消息，叫停北京自修大学、北京生物研修学院等5所学校办学。 吃“红牌”的5所学校分别是北京自修大学、北京生物研修学院、中国继续教育联合学院、北京京华医科大学和北京外企研修学院。 市教委表示，经调查核实，这5所学校多年无实际办学行为、未正常参加民办高校办学状况年度检查。从即日起，对这5所学校的办学许可予以停止。,杨杰 ,北京日报客户端,0,2020年01月06日 12:10,1578285803.9325473
我驻英大使:禁华为将使英在新一轮技术革命中落后,原标题：我驻英大使在英媒发文：禁华为将使英国在新一轮技术革命中落后 [环球网综合报道]据中国驻英国大使馆网站6日消息，2020年1月5日，英国主流大报《星期日电讯报》以《禁止华为将使英国在新一轮技术革命中落后》为题，在纸质版和网络版发表中国驻英国大使刘晓明大使署名文章。刘晓明在文章中表示，放弃与华为开展5G合作，无疑意味着逆潮流而动，带来时间、成本和市场竞争力的巨大损失。 全文如下： 一个时期以来，5G问题一直广受关注。个别国家极力兜售所谓“华为威胁论”，散布“科技冷战”阴云，试图给全球电信行业筑起“隔离墙”。这些言行违背开放包容的时代潮流，影响各国电信业的正常发展，是十分危险的。那么，华为究竟是否安全可靠？华为给中英关系带来什么？“禁止华为”将有什么后果？我想就这些问题谈几点看法： 首先，关于华为的安全性，公道自在人心。目前，华为为全球170多个国家和地区、30多亿人提供网络服务。没有任何一个国家、任何一个组织、任何一个公司或者任何一个人能拿出确凿证据，证明华为产品构成安全威胁。为应对各方质疑，华为公开承诺，愿签署无“后门”协议，并接受第三方检测和监督。在英国，华为自2010年以来主动斥资建立“网络安全评估中心”并持续运营至今，由英方专业人员对华为产品进行评估。英方的结论是，华为产品风险可控。英国议会科技委员会也认为，从技术安全角度看，没理由将华为排除在英国5G建设之外。一些别有用心的人炒作，中国根据《国家情报法》可以“迫使”电信供应商移交数据。事实上，上述法律规定，国家情报工作应当依法进行，尊重和保障人权，维护个人和组织合法权益。中国从来没有也不会要求企业或个人以违反当地法律的方式、以安装“后门”等形式为中国政府采集或提供位于外国境内的数据、信息和情报。反倒是那个叫得最响的国家，不少大公司被媒体披露存在安全漏洞，爆出多起“后门”事件，这无异于“贼喊捉贼”。中国有句话“欲加之罪，何患无辞”，滥用国家安全理由、人为制造“华为5G安全风险”，只能影响各国开展正常合作，最终只会搬起石头砸自己的脚。 第二，关于华为对中英合作的贡献，事实胜于雄辩。华为落户英国近20年，对英国经济社会和电信业发展做出巨大贡献，可以说是中英合作共赢的典范。从2012年至2017年，华为在英采购和投资20亿英镑，支撑当地就业2.6万个。2018年初，华为承诺其后5年在英追加投入30亿英镑，这是在脱欧背景下对英国未来发展投下的“信任票”，更是为推进中英务实合作投下的“支持票”。作为工业革命起源地，英国高度重视5G建设，英国数文媒体部强调要加大投资，力争2027年前在大部分地区普及5G网络。华为是5G全球领军者，在全球设立数十个研发中心，拥有8万多研发人员，5G专利数量全球第一。双方加强合作不仅互惠互利，也能互相促进、共同成长，为两国乃至全球信息产业发展做出更大贡献。 第三，关于“禁止华为”的后果，无疑是开历史倒车。环顾世界，保护主义、单边主义严重冲击国际经济秩序，但经济全球化是不可逆转的时代潮流。在这样的形势下，我们更要坚持多边主义，而不是单边独霸；要坚持合作共赢，而不是“本国优先”；要坚持“拆墙”，而不是“筑墙”。当前，以5G+物联网等新兴技术为代表的第四次工业革命方兴未艾，新一轮科技革命理应成为各国共同发展的新动力、新机遇。放弃与华为开展5G合作，无疑意味着逆潮流而动，带来时间、成本和市场竞争力的巨大损失。英国多家电信运营商明确表示，禁用华为设备，将使英5G网络建设延迟2至3年，更使英国在第四次工业革命浪潮中落在后面。英国素以开放包容著称，禁止华为不仅将影响华为在英经营，而且损害英国自身国际形象，打击外国投资者对英国未来的信心，对中英合作也将带来消极影响。 世界已进入21世纪第三个十年，中国和英国都站在新的历史起点上，两国关系也面临新的机遇。我衷心希望，英国政府能够坚持开放包容理念，坚持公平、公正、非歧视原则，在华为问题上做出经得起历史检验的决策，为深化中英互利合作创造条件，为造福两国人民做出贡献。 《星期日电讯报》（The Sunday Telegraph）是英国主流大报，在周日出版的大报中发行量最大，读者主要是英政府、议会、工商界、教育界、新闻界、文化界、智库等人士。,刘光博 ,环球网,0,2020年01月06日 12:10,1578285825.1977637
辽宁锦州市政府原副秘书长汪涛被逮捕,原标题：锦州市政府原副秘书长汪涛涉嫌受贿、贪污、玩忽职守罪被逮捕 辽宁锦州市人民检察院2020年1月3日在12309中国检察网发布消息称，锦州市人民政府原副秘书长汪涛涉嫌受贿、贪污、玩忽职守罪，经锦州市人民检察院指定管辖，由锦州市人民检察院松山新区检察室于2019年12月23日决定对汪涛依法拘留，2020年1月2日决定对汪涛依法逮捕，目前此案正在办理中。 2019年6月24日，锦州市纪委监委官网对外通报称，锦州市政府原副秘书长汪涛涉嫌严重违纪违法，目前正接受纪律审查和监察调查。 通报所附简历显示，汪涛，男，汉族，1964年6月出生，山东牟平人，1994年6月加入中国共产党，1986年8月参加工作，大学本科学历。2019年4月，担任锦州市政府副秘书长的汪涛被撤职。 2019年12月23日，汪涛严重违纪违法被开除党籍和公职。“双开”消息显示，经查，汪涛转移并隐瞒个人财产，对抗组织审查；违反中央八项规定精神，收受礼品礼金；不如实报告个人重要事项；违规从事经营活动；私设账外资金用于处理账外费用，未经批准违规处理国有资产，未履行评估程序擅自决定收储土地价格，未经批准擅自决定增加收储土地面积；长期与他人保持不正当性关系；利用职务上的便利，非法收受他人财物；非法占有公款；为单位利益，向他人索取财物；对工作严重不负责任，致使国家利益遭受重大损失。 汪涛严重违反政治纪律、组织纪律、廉洁纪律、工作纪律、生活纪律和国家法律法规规定，并涉嫌受贿、贪污、单位受贿及玩忽职守犯罪，且在党的十八大后不收敛、不收手，十九大后仍然不思改、不知止，性质恶劣、情节严重，应予严肃处理。,刘光博 ,澎湃新闻,0,2020年01月06日 12:09,1578285846.379975
河南南阳市委全会决议：同意申报西峡县撤县设市,原标题：河南省南阳市委全会通过决议：同意申报西峡县撤县设市 河南省南阳市西峡县撤县设市工作近日有了新进展。 据南阳广播电视台消息，2020年1月5日下午，经中共南阳市第六届委员会第十次全体（扩大）会议审议并表决，通过了《中国共产党南阳市第六届委员会第十次全体会议关于同意申报西峡县撤县设市的决议》。 “宛西明珠西峡，自2003年首次提出撤县设市后，已连续十多年综合经济实力稳居南阳市前列和全省先进行列，先后荣获全国文明城市等国家级荣誉50多项，2018年全县人均地区生产总值61732元、位于全省第9位，二、三产业增加值占地区生产总值比重的88.7%，各项指标均已达到或超过国务院2016年公布的撤县设市新标准。”上述消息介绍称，“县级西峡市的设立，有利于优化南阳市区域发展布局、提升南阳在省际交界地区的影响力、辐射力，将有力助推南阳高质量建设具有较强吸纳集聚能力和重要影响力的大城市。” 西峡县是河南省南阳市下辖县。西峡县政府网站资料介绍称，西峡县总面积3454平方公里，为河南省第二区域大县，辖1乡15镇3个办事处，299个行政村（社区居委会），总人口46万。 此前，2019年10月，西峡县人大常委会会议已通过《西峡县申报撤县设市的决议》。 据西峡广播电视台官方微信公众平台“西峡广播电视台”2019年10月31日消息，西峡县撤县设市工作领导小组办公室2019年10月30日发布的一则《关于西峡县申报撤县设市的情况说明》称，“近日，针对部分自媒体对西峡县撤县设市工作的热切关注，现将有关情况说明如下：西峡县撤县设市工作自启动以来，得到了上级有关部门和县委县政府的高度重视，得到了全县人民的大力支持。根据程序要求，西峡县人大常委会于2019年10月29日上午召开会议，审议西峡县人民政府提交的《关于西峡县撤县设市的议案》，通过了《西峡县申报撤县设市的决议》。西峡县人大常委会通过的这个《决议》是撤县设市的必备程序之一，撤县设市工作须向市、省逐级申报验收，最后报国务院审批。目前，西峡县撤县设市工作正按照法定程序有序推进，有关推进撤县设市工作的最新进展情况，我们会在第一时间向社会发布，及时回应社会关切。”,刘光博 ,澎湃新闻,0,2020年01月06日 12:03,1578285867.584188
中国政法大学澄清将在河南新乡设校区:是一般合作,原标题：中国政法大学澄清“将在河南新乡新设校区”：只是一般合作 近日，一则“中国政法大学将在河南省新乡市新设校区”的传闻在新乡当地引发关注。 澎湃新闻（www.thepaper.cn）注意到，上述传闻源于中国政法大学官网2019年12月12日发布的一则消息——12月11日上午，中国政法大学校长马怀德主持召开了中国政法大学2019年第21次校长办公会。其中，会议的一项内容便是“审议通过了《中国政法大学与新乡市人民政府战略合作框架协议》”。不过，学校官网在这则消息中未披露合作框架协议的具体内容。 对于上述传闻，中国政法大学学校办公室工作人员2020年1月6日在接受澎湃新闻采访时明确表示，这个（传闻）已经辟谣，（中国政法大学和新乡）只是一般合作，没有说要建立新校区。而该校国内合作处工作人员1月3日也强调，涉及合作的消息应以学校官网和新乡市政府官网公布的新闻为准。 此前，新乡市政府官网已于1月2日发布了双方签署战略合作协议的消息。 新乡市政府官网称，12月31日，新乡市与中国政法大学签署战略合作协议，掀开了校地合作的新篇章。中国政法大学副校长冯世勇，市领导王登喜、王占波、周勇和平原示范区、市直有关部门主要负责同志等出席签约仪式。 根据协议内容，双方将本着“需求引导、讲求实效、优势互补、互惠互利、共同发展”的原则，充分依托中国政法大学的优势，在人才培养、学科建设、科学研究、政策制定等领域开展合作，促进新乡市教育、人才、法治建设全面提升。 新乡市长王登喜表示，中国政法大学是中国政法领域的最高学府，为中国的法治建设作出了卓越贡献，为中国法律界培养了一大批人才。此次与新乡开展战略合作，将为新乡市的教育发展、人才培养、法治建设提供难得的机遇，为新乡经济社会高质量发展、在中原崛起中奋勇争先提供有力的智力支持。新乡市委、市政府将为双方的合作提供优惠政策、优质服务、坚强保障，确保各项合作取得丰硕的成果。 此外，中国政法大学官网也在1月3日发布了此次合作的消息。 中国政法大学官网透露，副校长冯世勇表示，中国政法大学高度重视与新乡的合作，希望以此次协议的签署为契机，实现双方的共同进步与发展。针对未来合作的开展，他提出三点要求：一是加强务实合作。细化框架协议，推进合作内容；二是坚持正向发展。坚持依法依规，互利双赢，优势互补，促进共同发展；三是要加强沟通和交流，建立有效的联动机制，定期总结合作经验、提高合作质量。 根据战略合作框架协议内容，中国政法大学将与新乡市在法治建设、智力支持、人才交流培养、开展教育合作等方面开展合作。 被誉为“中国法学教育的最高学府”、“中国人文社会科学领域的学术重镇”的中国政法大学是一所以法学学科为特色和优势的国家“双一流”建设高校，直属于教育部，现有北京市海淀区学院路和北京市昌平区府学路两个校区。,刘光博 ,澎湃新闻,0,2020年01月06日 12:01,1578285888.791401
国家邮政局：预计2020年邮政业务总量完成1.9万亿,原标题：国家邮政局：预计2020年邮政业务总量完成1.9万亿 新京报讯 1月6日，2020年全国邮政管理工作会议在北京召开。国家邮政局党组书记、局长马军胜在会上指出，预计2019年全年邮政业业务总量和业务收入分别完成1.6万亿元和9600亿元，同比分别增长30%和21%，业务收入占GDP比重接近1%；快递业务量和业务收入分别完成630亿件和7450亿元，同比分别增长24%和23%。新增社会就业20万人以上，支撑网上零售额8万亿元以上。邮政普遍服务和快递服务满意度稳中有升，消费者申诉处理满意率达到98.5%。 会议还指出，预计2020年邮政业业务总量完成1.9万亿元，同比增长20%左右；业务收入完成1.1万亿元，同比增长15%左右。其中，快递业务量完成740亿件，同比增长18%左右；业务收入完成8660亿元，同比增长16%左右。邮政、快递服务满意度持续提高，快递包装治理取得积极成效，为国家稳就业作出积极贡献。同时，马军胜还表示，要落实新发展理念巩固行业稳中有进发展态势。一是编制战略规划。贯彻落实《交通强国建设纲要》，印发实施《邮政强国建设行动纲要》等；二是优化行业营商环境。制定贯彻落实国务院关于加强和规范事中事后监管指导意见的配套措施。深化“放管服”改革等；三是完善标准统计体系。完善邮政业标准体系架构。加快快递绿色包装标准建设，组织制订《绿色产品评价快递封装用品》国家标准和《冷链快递保温箱技术要求》行业标准等。国家邮政局方面曾表示，我国快递年业务量已迈入600亿时代。据国家邮政局新闻发言人、市场监管司司长冯力虎介绍，“十三五”以来，我国快递包裹量每年以新增100亿件的速度迈进，已连续6年超过美国、日本、欧洲等发达经济体。同时，冯力虎表示，我国已经成为世界上发展最快、最具活力的新兴寄递市场，也已经成为世界邮政业的动力源和稳定器，对世界快递业增长贡献率超过50%。,杨杰 ,新京报网,0,2020年01月06日 11:57,1578285910.0096147
美国宾州交通事故致5名华侨华人和中国留学生受伤,原标题：宾夕法尼亚州严重交通事故处置进展 当地时间1月5日美国宾夕法尼亚州Mount Pleasant附近车祸伤亡事故发生后，中国驻纽约总领馆立即启动应急机制，紧急联系事故处理相关各方，派出工作组赶赴事发地附近地区现场核实了解情况，向可能涉及的中国公民提供协助。经与当地警方、医院等多部门核实，事故中迄未有中国公民死亡的报告。受伤人员中，核实到5名华侨华人和中国留学生。总领馆工作组已与其中4人取得联系，表达慰问和关切，向其了解需协助的事项。目前该4人情况平稳。另外1人据告已由亲属接走。 驻纽约总领馆将继续与涉事故各方保持联系，及时为相关中国公民提供必要协助。 来源：中国驻纽约总领馆,刘光博 ,澎湃新闻,0,2020年01月06日 11:55,1578285931.2558298
我大使会见伊朗外交部长助理:美行为加剧局势动荡,原标题：我驻伊朗大使会见伊外交部部长助理：美方军事冒险行为将加剧地区局势紧张动荡 [环球网综合报道]中国驻伊朗大使馆官网5日发布驻伊朗大使常华会见伊外交部部长助理兼亚太总司长扎比卜消息。常华在会面中表示，美方的军事冒险行为，违背了国际关系基本准则，将加剧地区局势的紧张动荡。中方反对在国际关系中使用武力，军事手段没有出路，极限施压更行不通。 以下为中国驻伊朗大使馆官网全文： 2020年1月5日，驻伊朗大使常华会见伊外交部部长助理兼亚太总司长扎比卜。 常华表示，扎里夫外长不久前访华，中伊双方有关部门积极落实两国元首共识，巩固政治互信，深化务实合作，推动中伊全面战略伙伴关系稳步向前发展。关于伊朗将领遭袭事件，常华说，美方的军事冒险行为，违背了国际关系基本准则，将加剧地区局势的紧张动荡。中方反对在国际关系中使用武力，军事手段没有出路，极限施压更行不通。中方将秉持客观公正立场，为维护中东海湾地区和平安全发挥建设性作用。 扎比卜表示，伊方高度重视伊中双边关系，愿加强同中国各领域友好合作，高度赞赏中国在有关伊朗问题上的公正立场。,刘光博 ,环球网,0,2020年01月06日 11:50,1578285952.41204
骆惠宁履新 在香港首次公开亮相发言(全文),原标题：骆惠宁履新后，在香港首次公开亮相发言（全文） 1月6日上午，新任香港中联办主任骆惠宁在香港中联办大堂内会见记者。 骆惠宁表示，近半年香港形势让人揪心，大家热切期盼香港能重回正轨，就像习近平主席在新年贺词中指出，没有和谐稳定的环境，怎会有安居乐业的家园，真诚希望香港好，香港同胞好。 以下为骆惠宁发言全文： 大家好，让你们久等了。我刚到中联办上班，同事告诉我，有记者在办公楼门口等候，今天风大，我说请媒体朋友们进来吧。我在大厅与大家见面。从你们身上我感受到了香港记者的勤奋和敬业。 我过去在内地工作，但对香港并不陌生。这次到中联办任职，就个人而言是个新的使命新的挑战。我会带着对香港的真诚和真情做好工作。香港是东方明珠、国际化大都市，香港同胞为国家的改革开放和现代化建设作出了重要贡献，祖国也始终是香港最坚强的后盾。 近半年来香港的形势让人揪心，大家都热切地期盼香港能重回正轨。正像习近平主席在新年贺词中说的，没有和谐稳定的环境，怎会有安居乐业的家园，真诚希望香港好，香港同胞好。对于香港来说，“一国两制”是最大的优势，我将继续带领中联办同事，忠实履行职责。相信在林郑特首、特区政府和社会各界共同努力下，一定能够确保宪法、基本法在香港得到全面贯彻实施，一定能确保“一国两制”行稳致远，一定能确保香港长期繁荣稳定。对此我充满信心。 元旦刚过，新春将至，在这里我想借大家镜头，向香港同胞问一声“新年好”，希望媒体朋友们多支持中联办的工作，我会安排时间进度与大家交流，谢谢。,杨杰 ,新京报网,194,2020年01月06日 11:34,1578285973.5792506
