abstract 简报,title 标题,keywords 关键词,read_count 阅读量,share_count 分享数量,ban_comment 可评论,publish_time 推送时间,share_url url 链接,user_info_name 用户名,user_id 用户 id,description 用户描述,user_verified 官方账号,time 抓取时间,category 频道
“当多数人享受咖啡的方式已经从排队购买，转向在线定制、立等可取乃至送货上门时，依然只执着于门店场景端的建设，显然不太符合消费发展的诉求，数字化、人工智能、区块链、大数据、云计算、边缘计算等新技术迅速推动下，正在倒逼企业进行数字化转型。,曹仰锋：企业转型的中心是为用户创造价值,,21,0,0,2019-12-13 13:45:12,http://m.toutiao.com/group/6769795796939309581/?app=news_article&is_hit_share_recommend=0,澎湃新闻,51045089537,专注时政与思想的媒体开放平台,True,2019-12-13 14:41:36,news_tech
据金融监管部门和中国互联网金融协会监测发现，近期一些不法分子打着区块链旗号大肆炒作“虚拟货币”，ICO与“虚拟货币”交易活动在境内有死灰复燃迹象。,互金协会：谨慎判断以区块链名义进行的ICO与“虚拟货币”交易活动,,15,0,0,2019-12-13 13:26:38,http://m.toutiao.com/group/6769791011955671559/?app=news_article&is_hit_share_recommend=0,界面新闻,52857496566,中国高素质人群聚集的新闻及商业社交客户端，拒绝提供低俗新闻。,True,2019-12-13 14:41:36,news_tech
"12月12日,以“移触技发”为主题的2019TMA移动营销峰会在广州隆重举行,近千名广告主、营销领域精英、行业专家汇聚一堂,分享移动营销前沿价值。在当晚举办的第6届TMA移动营销大奖颁奖典礼上,360智慧商业获得10项大奖。",捷报来袭！360智慧商业揽获TMA十项大奖,,16,0,0,2019-12-13 11:06:48,http://m.toutiao.com/a6769754976748044803/?app=news_article&is_hit_share_recommend=0,站长之家,3851872836,站长之家您提供新的站长资讯，创业信息，业界动态及行业趋势！,False,2019-12-13 14:41:36,news_tech
IT之家12月13日消息 昨晚币圈知名人物包括波场创始人孙宇晨、币安联合创始人何一微博均被封禁，孙宇晨微博显示，该账号因被投诉违反法律法规和《微博社区公约》的相关规定，现已无法查看。此前，波场与币安官方微博也被关闭。,孙宇晨新微博帐号被封，开通不足12小时,,226,0,0,2019-12-13 11:14:03,http://m.toutiao.com/a6769756846048674317/?app=news_article&is_hit_share_recommend=0,IT之家,3353880530,IT之家：爱科技，爱这里。,True,2019-12-13 14:41:36,news_tech
华夏时报（chinatimes.net.cn）记者于玉金 北京报道对在线少儿英语赛道来说，2019年注定是跌宕起伏的一年。一边是，51talk2019Q3实现一对一业务首次盈利，VIPKID于10月8日确认获得腾讯领投的1.,在线少儿英语赛道加速洗牌 伴鱼创始人黄河透露已获数千万美元C轮融资,,31,1,0,2019-12-13 13:36:47,http://m.toutiao.com/group/6769793626638647819/?app=news_article&is_hit_share_recommend=0,华夏时报,3182162705,华夏时报以思想创造价值为理念，内容以深度调查和专业评论为主,True,2019-12-13 14:41:36,news_tech
张胜华站在科目二的模拟场地，在冷冽的风中焦急地观察着在场学员的模拟状态，基本上每半个月他就要带一批学生到金堂考场，进行科目二和科目三的考试，而每次代考则是他一周中最轻松的时刻。他有一个微信群，群里都是自己的学员。,硬科技创业 | 自动驾驶，为科目二找到了一个好老师,,46,0,0,2019-12-12 17:46:31,http://m.toutiao.com/a6769486897916936715/?app=news_article&article_category=automobile&is_hit_share_recommend=0,天虎科技,6351832801,科技深度媒体，独到视角聚焦TMT行业的科技发展、创新、创业,False,2019-12-13 14:41:36,news_tech
我们这一代人的生活，变化实在是太快了。拨号上网仿佛还在昨天，今天就要迎来5G时代了。那么，5G到底是个啥？对我们又有啥好处？1什么叫5G？5G的G是英文Generation的缩写，也就是“世代”的意思。,什么是5G？看这个就够了！,,147,0,0,2019-12-13 13:18:09,http://m.toutiao.com/a6769788823481090573/?app=news_article&is_hit_share_recommend=0,岱山检察,6025856728,浙江省舟山市岱山县检察院,True,2019-12-13 14:41:36,news_tech
[PConline资讯]12月13日消息，据天凤国际分析师郭明錤报道，苹果可能自 2020 年下半年停止支付NRE，也就是金属中框和机壳厂商一次性工程费用，以降低开发成本。,5G iPhone售价不会大幅提高，苹果要把成本转移给供应链,,24,0,0,2019-12-13 11:01:28,http://m.toutiao.com/group/6769753603113484808/?app=news_article&is_hit_share_recommend=0,太平洋电脑网,3389144301,"太平洋电脑网于1999年正式推出,致力为国内IT企业与终端用户提供全面、权威、专业的IT资讯服务。",True,2019-12-13 14:41:36,news_tech
登顶全球第一！ofo推出首款物联网智能锁，用户体验升级行业,登顶全球第一！ofo推出首款物联网智能锁，用户体验升级行业,,20,0,0,2019-12-13 11:05:54,https://m.toutiaoimg.com/a6769456557458457099/?app=news_article&is_hit_share_recommend=0,浙商面对面,3399335950691389,浙江电视台经济生活频道《风云浙商面对面》栏目,True,2019-12-13 14:41:36,news_tech
文 | 凯蒂·希尔编辑 | 李成章因为每家公司都不得不在一定程度上接受科技，我们正看到这个趋势已经反映在这些高增长的工作岗位上摄影 |《巴伦》Andras Vas12月10日，职场社交平台LinkedIn发布了年度“新兴职业”榜单，列出了从2015年到今年就业增长率最高的职位。,年度十大新兴工作，人工智能排第一,,104,2,0,2019-12-13 10:49:01,http://m.toutiao.com/a6769750392688345603/?app=news_article&is_hit_share_recommend=0,巴伦周刊,96471630248,投美股，看巴伦。《巴伦》1921年创刊，深受全球投资者青睐。,True,2019-12-13 14:41:36,news_tech
